date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:46:41	7432/7432	---M--	200	added ('OK')	image/jpeg	etag:%22bfcdbcbd8b99de9212b1f72ab963b7a9%22	https://image.tmdb.org/t/p/w300/8L4mdjd9Zuxju3cDB3spgJ8AOPw.jpg	C:/My%20Web%20Sites/Homem%20Aranha/image.tmdb.org/t/p/w300/8L4mdjd9Zuxju3cDB3spgJ8AOPw.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
19:46:41	792434/792434	---M--	200	added ('OK')	image/jpeg	etag:%229fbd4b6cc5b48cdda8b43b30b120b0d6%22	https://image.tmdb.org/t/p/original/n7sgwV1TNHUXOf7Aoh7Cr8gWvlZ.jpg	C:/My%20Web%20Sites/Homem%20Aranha/image.tmdb.org/t/p/original/n7sgwV1TNHUXOf7Aoh7Cr8gWvlZ.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
19:46:41	15108/15108	---M--	200	added ('OK')	image/jpeg	etag:%229fbd4b6cc5b48cdda8b43b30b120b0d6%22	https://image.tmdb.org/t/p/w300/n7sgwV1TNHUXOf7Aoh7Cr8gWvlZ.jpg	C:/My%20Web%20Sites/Homem%20Aranha/image.tmdb.org/t/p/w300/n7sgwV1TNHUXOf7Aoh7Cr8gWvlZ.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
19:46:41	523036/523036	---M--	200	added ('OK')	image/jpeg	etag:%22d76f697c41fd666945660422cf8d28a6%22	https://image.tmdb.org/t/p/original/rWiPrQ4XqbuLg4wP2ufM0dsBRCQ.jpg	C:/My%20Web%20Sites/Homem%20Aranha/image.tmdb.org/t/p/original/rWiPrQ4XqbuLg4wP2ufM0dsBRCQ.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
19:46:42	9612/9612	---M--	200	added ('OK')	image/jpeg	etag:%22d76f697c41fd666945660422cf8d28a6%22	https://image.tmdb.org/t/p/w300/rWiPrQ4XqbuLg4wP2ufM0dsBRCQ.jpg	C:/My%20Web%20Sites/Homem%20Aranha/image.tmdb.org/t/p/w300/rWiPrQ4XqbuLg4wP2ufM0dsBRCQ.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
19:46:42	392/392	---M--	200	added ('OK')	image/png	etag:%2260e74908-188%22	https://querofilmehd.net/wp-content/themes/dooplay/assets/img/no/cast.png	C:/My%20Web%20Sites/Homem%20Aranha/querofilmehd.net/wp-content/themes/dooplay/assets/img/no/cast.png	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
19:46:42	3253/3253	---M--	200	added ('OK')	image/jpeg	etag:%2256cf6dc92351119fdb6a273d6a71a7ad%22	https://image.tmdb.org/t/p/w92/2qhIDp44cAqP2clOgt2afQI07X8.jpg	C:/My%20Web%20Sites/Homem%20Aranha/image.tmdb.org/t/p/w92/2qhIDp44cAqP2clOgt2afQI07X8.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
19:46:43	3561/3561	---M--	200	added ('OK')	image/jpeg	etag:%2250a41ac9c314250e007626b1a5174fd1%22	https://image.tmdb.org/t/p/w92/jHWlWOasiqKS8JI40g9GDH5X6AL.jpg	C:/My%20Web%20Sites/Homem%20Aranha/image.tmdb.org/t/p/w92/jHWlWOasiqKS8JI40g9GDH5X6AL.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
19:46:43	3413/3413	---M--	200	added ('OK')	image/jpeg	etag:%22d6dfea36168f32d4edad6a528e662c8b%22	https://image.tmdb.org/t/p/w92/fBEucxECxGLKVHBznO0qHtCGiMO.jpg	C:/My%20Web%20Sites/Homem%20Aranha/image.tmdb.org/t/p/w92/fBEucxECxGLKVHBznO0qHtCGiMO.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
19:46:43	2730/2730	---M--	200	added ('OK')	image/jpeg	etag:%22ddb832a98dc95a55db97d17878a7913d%22	https://image.tmdb.org/t/p/w92/8MtRRnEHaBSw8Ztdl8saXiw1egP.jpg	C:/My%20Web%20Sites/Homem%20Aranha/image.tmdb.org/t/p/w92/8MtRRnEHaBSw8Ztdl8saXiw1egP.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
19:46:43	2275/2275	---M--	200	added ('OK')	image/jpeg	etag:%22f78bfd7b759e96a906bf461fb0b0b824%22	https://image.tmdb.org/t/p/w92/53YhaL4xw4Sb1ssoHkeSSBaO29c.jpg	C:/My%20Web%20Sites/Homem%20Aranha/image.tmdb.org/t/p/w92/53YhaL4xw4Sb1ssoHkeSSBaO29c.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
19:46:44	3279/3279	---M--	200	added ('OK')	image/jpeg	etag:%22fbdc4d1d84337539623b4dd0e2a3de90%22	https://image.tmdb.org/t/p/w92/pP0J79KUzPPjW4QO42iF4KKM7C6.jpg	C:/My%20Web%20Sites/Homem%20Aranha/image.tmdb.org/t/p/w92/pP0J79KUzPPjW4QO42iF4KKM7C6.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
19:46:44	2823/2823	---M--	200	added ('OK')	image/jpeg	etag:%225cbe85b05a991b8343c51c7eb47d573b%22	https://image.tmdb.org/t/p/w92/nJo91Czesn6z0d0pkfbDoVZY3sg.jpg	C:/My%20Web%20Sites/Homem%20Aranha/image.tmdb.org/t/p/w92/nJo91Czesn6z0d0pkfbDoVZY3sg.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
19:46:44	2892/2892	---M--	200	added ('OK')	image/jpeg	etag:%22d7fe08770c9f727f071cdf10abe8073b%22	https://image.tmdb.org/t/p/w92/kZYV0GjnZdoyL3cLvWbKhetNBrE.jpg	C:/My%20Web%20Sites/Homem%20Aranha/image.tmdb.org/t/p/w92/kZYV0GjnZdoyL3cLvWbKhetNBrE.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
19:46:45	3357/3357	---M--	200	added ('OK')	image/jpeg	etag:%22cf115ad8994ab8d4264877272409f5f5%22	https://image.tmdb.org/t/p/w92/ui8e4sgZAwMPi3hzEO53jyBJF9B.jpg	C:/My%20Web%20Sites/Homem%20Aranha/image.tmdb.org/t/p/w92/ui8e4sgZAwMPi3hzEO53jyBJF9B.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
19:46:45	3126/3126	---M--	200	added ('OK')	image/jpeg	etag:%22a47d7aff805fd64ca112c9cdae27831f%22	https://image.tmdb.org/t/p/w92/ouuo4ulVO9j6T8JixFp4lWTVdtd.jpg	C:/My%20Web%20Sites/Homem%20Aranha/image.tmdb.org/t/p/w92/ouuo4ulVO9j6T8JixFp4lWTVdtd.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
